stamp,event,robot,role,x,y,raw
1779964527.826,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 0.9, ""y"": 0.0}, ""role"": ""leader"", ""x"": 0.12124999991508223, ""y"": 6.396234772053642e-12}, ""robot2"": {""last_goal"": {""x"": -0.6787500000849178, ""y"": 1.296700564471488e-11}, ""role"": ""follower"", ""x"": -9.011788436895989e-13, ""y"": 0.9999999999989846}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964527.825946, ""target"": {""x"": 0.9, ""y"": 0.0}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964527.851,pose,robot1,leader,0.1300,0.0000,
1779964527.851,pose,robot2,follower,-0.0000,1.0000,
1779964527.886,pose,robot1,leader,0.1387,0.0000,
1779964527.886,pose,robot2,follower,0.0000,1.0000,
1779964527.921,pose,robot1,leader,0.1475,0.0000,
1779964527.922,pose,robot2,follower,-0.0000,1.0000,
1779964527.956,pose,robot1,leader,0.1562,0.0000,
1779964527.956,pose,robot2,follower,-0.0000,1.0000,
1779964527.991,pose,robot2,follower,-0.0000,1.0000,
1779964527.991,pose,robot1,leader,0.1650,0.0000,
1779964528.026,pose,robot2,follower,-0.0000,1.0000,
1779964528.026,pose,robot1,leader,0.1737,0.0000,
1779964528.061,pose,robot2,follower,-0.0000,1.0000,
1779964528.061,pose,robot1,leader,0.1825,0.0000,
1779964528.096,pose,robot2,follower,-0.0000,1.0000,
1779964528.096,pose,robot1,leader,0.1912,0.0000,
1779964528.131,pose,robot1,leader,0.2000,0.0000,
1779964528.131,pose,robot2,follower,-0.0000,1.0000,
1779964528.166,pose,robot1,leader,0.2087,0.0000,
1779964528.166,pose,robot2,follower,-0.0000,1.0000,
1779964528.201,pose,robot1,leader,0.2175,0.0000,
1779964528.201,pose,robot2,follower,-0.0000,1.0000,
1779964528.236,pose,robot1,leader,0.2262,0.0000,
1779964528.236,pose,robot2,follower,-0.0000,1.0000,
1779964528.271,pose,robot1,leader,0.2350,0.0000,
1779964528.271,pose,robot2,follower,-0.0000,1.0000,
1779964528.306,pose,robot1,leader,0.2437,0.0000,
1779964528.306,pose,robot2,follower,-0.0000,1.0000,
1779964528.320,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964528.31961, ""target"": [0.9, 0.0], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964528.326,role,robot1,leader,0.2437,0.0000,leader
1779964528.326,role,robot2,follower,-0.0000,1.0000,follower
1779964528.326,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 0.9, ""y"": 0.0}, ""role"": ""leader"", ""x"": 0.24374999989711396, ""y"": 1.5196814664499757e-11}, ""robot2"": {""last_goal"": {""x"": -0.556250000102886, ""y"": 3.37224553954617e-11}, ""role"": ""follower"", ""x"": -1.6618233765356707e-12, ""y"": 1.0000000000003122}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964528.3259008, ""target"": {""x"": 0.9, ""y"": 0.0}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964528.341,pose,robot2,follower,-0.0000,1.0000,
1779964528.341,pose,robot1,leader,0.2525,0.0000,
1779964528.376,pose,robot1,leader,0.2612,0.0000,
1779964528.376,pose,robot2,follower,-0.0000,1.0000,
1779964528.411,pose,robot1,leader,0.2700,0.0000,
1779964528.411,pose,robot2,follower,-0.0000,1.0000,
1779964528.446,pose,robot2,follower,-0.0000,1.0000,
1779964528.446,pose,robot1,leader,0.2787,0.0000,
1779964528.481,pose,robot1,leader,0.2875,0.0000,
1779964528.481,pose,robot2,follower,-0.0000,1.0000,
1779964528.516,pose,robot2,follower,-0.0000,1.0000,
1779964528.516,pose,robot1,leader,0.2962,0.0000,
1779964528.551,pose,robot2,follower,-0.0000,1.0000,
1779964528.551,pose,robot1,leader,0.3050,0.0000,
1779964528.586,pose,robot1,leader,0.3137,0.0000,
1779964528.587,pose,robot2,follower,-0.0000,1.0000,
1779964528.621,pose,robot1,leader,0.3225,0.0000,
1779964528.621,pose,robot2,follower,-0.0000,1.0000,
1779964528.656,pose,robot1,leader,0.3312,0.0000,
1779964528.656,pose,robot2,follower,-0.0000,1.0000,
1779964528.691,pose,robot1,leader,0.3400,0.0000,
1779964528.691,pose,robot2,follower,-0.0000,1.0000,
1779964528.726,pose,robot1,leader,0.3487,0.0000,
1779964528.726,pose,robot2,follower,-0.0000,1.0000,
1779964528.761,pose,robot1,leader,0.3575,0.0000,
1779964528.761,pose,robot2,follower,-0.0000,1.0000,
1779964528.796,pose,robot1,leader,0.3662,0.0000,
1779964528.796,pose,robot2,follower,-0.0000,1.0000,
1779964528.826,role,robot1,leader,0.3662,0.0000,leader
1779964528.826,role,robot2,follower,-0.0000,1.0000,follower
1779964528.826,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 0.9, ""y"": 0.0}, ""role"": ""leader"", ""x"": 0.36624999987919415, ""y"": 2.32519363371659e-11}, ""robot2"": {""last_goal"": {""x"": -0.4337500001208059, ""y"": 5.8102613743297145e-11}, ""role"": ""follower"", ""x"": -1.5983534103827677e-12, ""y"": 0.9999999999933874}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964528.82604, ""target"": {""x"": 0.9, ""y"": 0.0}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964528.831,pose,robot1,leader,0.3750,0.0000,
1779964528.831,pose,robot2,follower,-0.0000,1.0000,
1779964528.866,pose,robot1,leader,0.3837,0.0000,
1779964528.866,pose,robot2,follower,-0.0016,0.9914,
1779964528.901,pose,robot1,leader,0.3925,0.0000,
1779964528.901,pose,robot2,follower,-0.0034,0.9828,
1779964528.936,pose,robot2,follower,-0.0054,0.9743,
1779964528.936,pose,robot1,leader,0.4012,0.0000,
1779964528.971,pose,robot1,leader,0.4100,0.0000,
1779964528.971,pose,robot2,follower,-0.0074,0.9658,
1779964529.006,pose,robot1,leader,0.4187,0.0000,
1779964529.006,pose,robot2,follower,-0.0096,0.9573,
1779964529.041,pose,robot1,leader,0.4275,0.0000,
1779964529.041,pose,robot2,follower,-0.0120,0.9489,
1779964529.076,pose,robot1,leader,0.4362,0.0000,
1779964529.076,pose,robot2,follower,-0.0144,0.9405,
1779964529.111,pose,robot2,follower,-0.0169,0.9321,
1779964529.111,pose,robot1,leader,0.4450,0.0000,
1779964529.146,pose,robot1,leader,0.4537,0.0000,
1779964529.146,pose,robot2,follower,-0.0195,0.9237,
1779964529.181,pose,robot1,leader,0.4625,0.0000,
1779964529.181,pose,robot2,follower,-0.0221,0.9154,
1779964529.216,pose,robot2,follower,-0.0249,0.9071,
1779964529.217,pose,robot1,leader,0.4712,0.0000,
1779964529.251,pose,robot1,leader,0.4800,0.0000,
1779964529.251,pose,robot2,follower,-0.0277,0.8988,
1779964529.286,pose,robot1,leader,0.4887,0.0000,
1779964529.286,pose,robot2,follower,-0.0305,0.8905,
1779964529.320,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964529.3192852, ""target"": [0.9, 0.0], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964529.321,pose,robot1,leader,0.4975,0.0000,
1779964529.321,pose,robot2,follower,-0.0335,0.8823,
1779964529.326,role,robot1,leader,0.4975,0.0000,leader
1779964529.326,role,robot2,follower,-0.0335,0.8823,follower
1779964529.326,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 0.9, ""y"": 0.0}, ""role"": ""leader"", ""x"": 0.49749999986001425, ""y"": 2.9690042569251915e-11}, ""robot2"": {""last_goal"": {""x"": -0.3025000001399858, ""y"": 8.870130728264519e-11}, ""role"": ""follower"", ""x"": -0.03346700199251966, ""y"": 0.8823029651304128}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964529.325942, ""target"": {""x"": 0.9, ""y"": 0.0}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964529.356,pose,robot1,leader,0.5062,0.0000,
1779964529.356,pose,robot2,follower,-0.0364,0.8741,
1779964529.391,pose,robot1,leader,0.5150,0.0000,
1779964529.391,pose,robot2,follower,-0.0394,0.8658,
1779964529.426,pose,robot1,leader,0.5237,0.0000,
1779964529.426,pose,robot2,follower,-0.0423,0.8576,
1779964529.461,pose,robot1,leader,0.5325,0.0000,
1779964529.461,pose,robot2,follower,-0.0452,0.8493,
1779964529.496,pose,robot1,leader,0.5412,0.0000,
1779964529.496,pose,robot2,follower,-0.0480,0.8410,
1779964529.531,pose,robot1,leader,0.5500,0.0000,
1779964529.531,pose,robot2,follower,-0.0509,0.8328,
1779964529.566,pose,robot1,leader,0.5587,0.0000,
1779964529.566,pose,robot2,follower,-0.0537,0.8245,
1779964529.601,pose,robot1,leader,0.5675,0.0000,
1779964529.601,pose,robot2,follower,-0.0565,0.8162,
1779964529.637,pose,robot1,leader,0.5762,0.0000,
1779964529.637,pose,robot2,follower,-0.0592,0.8079,
1779964529.671,pose,robot1,leader,0.5850,0.0000,
1779964529.671,pose,robot2,follower,-0.0620,0.7996,
1779964529.706,pose,robot1,leader,0.5937,0.0000,
1779964529.706,pose,robot2,follower,-0.0647,0.7913,
1779964529.742,pose,robot1,leader,0.6024,0.0000,
1779964529.742,pose,robot2,follower,-0.0674,0.7830,
1779964529.776,pose,robot1,leader,0.6110,0.0000,
1779964529.777,pose,robot2,follower,-0.0701,0.7746,
1779964529.811,pose,robot1,leader,0.6196,0.0000,
1779964529.811,pose,robot2,follower,-0.0728,0.7663,
1779964529.826,role,robot1,leader,0.6196,0.0000,leader
1779964529.826,role,robot2,follower,-0.0728,0.7663,follower
1779964529.826,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 0.9, ""y"": 0.0}, ""role"": ""leader"", ""x"": 0.619599999853432, ""y"": 3.254679092677696e-11}, ""robot2"": {""last_goal"": {""x"": -0.1804000001465681, ""y"": 1.2540496755948566e-10}, ""role"": ""follower"", ""x"": -0.07280499384370154, ""y"": 0.7662984162201069}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964529.8259482, ""target"": {""x"": 0.9, ""y"": 0.0}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964529.846,pose,robot1,leader,0.6279,0.0000,
1779964529.846,pose,robot2,follower,-0.0755,0.7580,
1779964529.881,pose,robot1,leader,0.6357,0.0000,
1779964529.881,pose,robot2,follower,-0.0780,0.7496,
1779964529.916,pose,robot1,leader,0.6436,0.0000,
1779964529.916,pose,robot2,follower,-0.0805,0.7412,
1779964529.951,pose,robot1,leader,0.6510,0.0000,
1779964529.952,pose,robot2,follower,-0.0829,0.7328,
1779964529.986,pose,robot1,leader,0.6582,0.0000,
1779964529.986,pose,robot2,follower,-0.0852,0.7243,
1779964530.021,pose,robot1,leader,0.6654,0.0000,
1779964530.021,pose,robot2,follower,-0.0874,0.7159,
1779964530.056,pose,robot1,leader,0.6721,0.0000,
1779964530.056,pose,robot2,follower,-0.0895,0.7074,
1779964530.091,pose,robot2,follower,-0.0916,0.6989,
1779964530.091,pose,robot1,leader,0.6787,0.0000,
1779964530.126,pose,robot2,follower,-0.0935,0.6904,
1779964530.126,pose,robot1,leader,0.6853,0.0000,
1779964530.161,pose,robot2,follower,-0.0954,0.6818,
1779964530.161,pose,robot1,leader,0.6914,0.0000,
1779964530.196,pose,robot2,follower,-0.0973,0.6733,
1779964530.196,pose,robot1,leader,0.6974,0.0000,
