stamp,event,robot,role,x,y,raw
1779964555.117,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""waiting_for_target"", ""reason"": ""waiting_for_target"", ""requirement_refs"": [""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964555.116291, ""target"": null, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964555.612,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964555.6118433, ""target"": [1.2, 0.6], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964555.616,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""estimate_state"", ""reason"": ""waiting_for_fresh_odometry"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964555.616068, ""target"": {""x"": 1.2, ""y"": 0.6}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964556.117,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""estimate_state"", ""reason"": ""waiting_for_fresh_odometry"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964556.116236, ""target"": {""x"": 1.2, ""y"": 0.6}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964556.513,pose,robot1,unknown,-0.0000,-0.0000,
1779964556.513,pose,robot2,unknown,-0.0000,1.0000,
1779964556.546,pose,robot1,unknown,-0.0000,-0.0000,
1779964556.546,pose,robot2,unknown,-0.0000,1.0000,
1779964556.581,pose,robot1,unknown,-0.0000,-0.0000,
1779964556.582,pose,robot2,unknown,-0.0000,1.0000,
1779964556.612,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964556.611361, ""target"": [1.2, 0.6], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964556.616,role,robot1,leader,-0.0000,-0.0000,leader
1779964556.616,role,robot2,follower,-0.0000,1.0000,follower
1779964556.616,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 1.2, ""y"": 0.6}, ""role"": ""leader"", ""x"": -3.152042878192204e-31, ""y"": -8.197065044922036e-64}, ""robot2"": {""last_goal"": {""x"": -0.7155417527999327, ""y"": -0.35777087639996635}, ""role"": ""follower"", ""x"": -3.152043215942179e-31, ""y"": 1.0}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964556.616261, ""target"": {""x"": 1.2, ""y"": 0.6}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964556.617,pose,robot1,leader,-0.0000,-0.0000,
1779964556.617,pose,robot2,follower,-0.0000,1.0000,
1779964556.652,pose,robot1,leader,0.0000,0.0000,
1779964556.652,pose,robot2,follower,-0.0000,1.0000,
1779964556.687,pose,robot1,leader,0.0000,0.0000,
1779964556.687,pose,robot2,follower,-0.0000,1.0000,
1779964556.722,pose,robot1,leader,0.0000,0.0000,
1779964556.722,pose,robot2,follower,-0.0000,1.0000,
1779964556.757,pose,robot1,leader,0.0000,-0.0000,
1779964556.757,pose,robot2,follower,-0.0000,1.0000,
1779964556.792,pose,robot1,leader,0.0000,-0.0000,
1779964556.792,pose,robot2,follower,-0.0000,1.0000,
1779964556.827,pose,robot1,leader,0.0000,-0.0000,
1779964556.827,pose,robot2,follower,-0.0000,1.0000,
1779964556.862,pose,robot1,leader,0.0000,-0.0000,
1779964556.862,pose,robot2,follower,-0.0000,1.0000,
1779964556.897,pose,robot1,leader,0.0000,-0.0000,
1779964556.897,pose,robot2,follower,-0.0000,1.0000,
1779964556.932,pose,robot1,leader,0.0024,0.0006,
1779964556.932,pose,robot2,follower,-0.0000,1.0000,
1779964556.967,pose,robot1,leader,0.0109,0.0028,
1779964556.967,pose,robot2,follower,-0.0000,1.0000,
1779964557.002,pose,robot1,leader,0.0193,0.0051,
1779964557.002,pose,robot2,follower,-0.0000,1.0000,
