stamp,event,robot,role,x,y,raw
1779964477.864,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""waiting_for_target"", ""reason"": ""waiting_for_target"", ""requirement_refs"": [""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964477.8636649, ""target"": null, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964478.359,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964478.3581088, ""target"": [1.2, 0.6], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964478.364,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""estimate_state"", ""reason"": ""waiting_for_fresh_odometry"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964478.363663, ""target"": {""x"": 1.2, ""y"": 0.6}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964478.864,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""estimate_state"", ""reason"": ""waiting_for_fresh_odometry"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964478.8636472, ""target"": {""x"": 1.2, ""y"": 0.6}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964479.257,pose,robot1,unknown,-0.0000,-0.0000,
1779964479.257,pose,robot2,unknown,-0.0000,1.0000,
1779964479.291,pose,robot1,unknown,-0.0000,-0.0000,
1779964479.291,pose,robot2,unknown,-0.0000,1.0000,
1779964479.326,pose,robot1,unknown,-0.0000,-0.0000,
1779964479.326,pose,robot2,unknown,-0.0000,1.0000,
1779964479.359,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964479.3580668, ""target"": [1.2, 0.6], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964479.361,pose,robot1,unknown,-0.0000,-0.0000,
1779964479.361,pose,robot2,unknown,-0.0000,1.0000,
1779964479.364,role,robot1,leader,-0.0000,-0.0000,leader
1779964479.364,role,robot2,follower,-0.0000,1.0000,follower
1779964479.364,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 1.2, ""y"": 0.6}, ""role"": ""leader"", ""x"": -3.15204287828876e-31, ""y"": -8.197065045424233e-64}, ""robot2"": {""last_goal"": {""x"": -0.7155417527999327, ""y"": -0.35777087639996635}, ""role"": ""follower"", ""x"": -3.152043216047814e-31, ""y"": 1.0}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964479.3637326, ""target"": {""x"": 1.2, ""y"": 0.6}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964479.396,pose,robot1,leader,0.0000,0.0000,
1779964479.396,pose,robot2,follower,-0.0000,1.0000,
1779964479.431,pose,robot1,leader,0.0000,0.0000,
1779964479.431,pose,robot2,follower,-0.0000,1.0000,
1779964479.466,pose,robot1,leader,0.0000,0.0000,
1779964479.466,pose,robot2,follower,-0.0000,1.0000,
1779964479.501,pose,robot1,leader,0.0000,-0.0000,
1779964479.501,pose,robot2,follower,-0.0000,1.0000,
1779964479.536,pose,robot1,leader,0.0000,-0.0000,
1779964479.536,pose,robot2,follower,-0.0000,1.0000,
1779964479.571,pose,robot1,leader,0.0000,-0.0000,
1779964479.571,pose,robot2,follower,-0.0000,1.0000,
1779964479.606,pose,robot1,leader,0.0000,-0.0000,
1779964479.606,pose,robot2,follower,-0.0000,1.0000,
1779964479.641,pose,robot1,leader,0.0000,-0.0000,
1779964479.641,pose,robot2,follower,-0.0000,1.0000,
1779964479.676,pose,robot1,leader,0.0012,0.0003,
1779964479.676,pose,robot2,follower,-0.0000,1.0000,
1779964479.711,pose,robot1,leader,0.0097,0.0025,
1779964479.711,pose,robot2,follower,-0.0000,1.0000,
1779964479.746,pose,robot1,leader,0.0181,0.0048,
1779964479.746,pose,robot2,follower,-0.0000,1.0000,
1779964479.781,pose,robot1,leader,0.0265,0.0073,
1779964479.781,pose,robot2,follower,-0.0000,1.0000,
1779964479.816,pose,robot1,leader,0.0349,0.0098,
1779964479.816,pose,robot2,follower,-0.0000,1.0000,
1779964479.851,pose,robot1,leader,0.0432,0.0125,
1779964479.851,pose,robot2,follower,-0.0000,1.0000,
1779964479.864,role,robot1,leader,0.0432,0.0125,leader
1779964479.864,role,robot2,follower,-0.0000,1.0000,follower
1779964479.864,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 1.2, ""y"": 0.6}, ""role"": ""leader"", ""x"": 0.04320552453622005, ""y"": 0.012538808712180811}, ""robot2"": {""last_goal"": {""x"": -0.6700866854606814, ""y"": -0.349696229843915}, ""role"": ""follower"", ""x"": -9.011788436895989e-13, ""y"": 0.9999999999989846}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964479.863794, ""target"": {""x"": 1.2, ""y"": 0.6}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964479.886,pose,robot1,leader,0.0515,0.0153,
1779964479.886,pose,robot2,follower,-0.0000,1.0000,
1779964479.921,pose,robot1,leader,0.0598,0.0182,
1779964479.921,pose,robot2,follower,0.0000,1.0000,
1779964479.956,pose,robot1,leader,0.0680,0.0212,
1779964479.956,pose,robot2,follower,-0.0000,1.0000,
1779964479.991,pose,robot1,leader,0.0762,0.0243,
1779964479.991,pose,robot2,follower,-0.0000,1.0000,
1779964480.026,pose,robot1,leader,0.0843,0.0274,
1779964480.026,pose,robot2,follower,-0.0000,1.0000,
1779964480.061,pose,robot1,leader,0.0925,0.0306,
1779964480.061,pose,robot2,follower,-0.0000,1.0000,
1779964480.096,pose,robot1,leader,0.1006,0.0339,
1779964480.096,pose,robot2,follower,-0.0000,1.0000,
1779964480.131,pose,robot1,leader,0.1087,0.0372,
1779964480.131,pose,robot2,follower,-0.0000,1.0000,
1779964480.166,pose,robot1,leader,0.1168,0.0406,
1779964480.166,pose,robot2,follower,-0.0000,1.0000,
1779964480.201,pose,robot1,leader,0.1248,0.0440,
1779964480.201,pose,robot2,follower,-0.0000,1.0000,
1779964480.236,pose,robot1,leader,0.1329,0.0475,
1779964480.236,pose,robot2,follower,-0.0000,1.0000,
1779964480.271,pose,robot1,leader,0.1409,0.0510,
1779964480.271,pose,robot2,follower,-0.0000,1.0000,
