stamp,event,robot,role,x,y,raw
1779964493.516,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""waiting_for_target"", ""reason"": ""waiting_for_target"", ""requirement_refs"": [""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964493.515806, ""target"": null, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964494.015,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964494.0146556, ""target"": [1.2, -0.6], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964494.016,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""estimate_state"", ""reason"": ""waiting_for_fresh_odometry"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964494.015716, ""target"": {""x"": 1.2, ""y"": -0.6}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964494.516,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""estimate_state"", ""reason"": ""waiting_for_fresh_odometry"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964494.5158074, ""target"": {""x"": 1.2, ""y"": -0.6}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964494.917,pose,robot1,unknown,-0.0000,-0.0000,
1779964494.917,pose,robot2,unknown,-0.0000,1.0000,
1779964494.951,pose,robot1,unknown,-0.0000,-0.0000,
1779964494.951,pose,robot2,unknown,-0.0000,1.0000,
1779964494.985,pose,robot1,unknown,-0.0000,-0.0000,
1779964494.986,pose,robot2,unknown,-0.0000,1.0000,
1779964495.014,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964495.0140967, ""target"": [1.2, -0.6], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964495.016,role,robot1,leader,-0.0000,-0.0000,leader
1779964495.016,role,robot2,follower,-0.0000,1.0000,follower
1779964495.016,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 1.2, ""y"": -0.6}, ""role"": ""leader"", ""x"": -3.152042878192204e-31, ""y"": -8.197065044922036e-64}, ""robot2"": {""last_goal"": {""x"": -0.7155417527999327, ""y"": 0.35777087639996635}, ""role"": ""follower"", ""x"": -3.152043215942179e-31, ""y"": 1.0}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964495.0158145, ""target"": {""x"": 1.2, ""y"": -0.6}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964495.020,pose,robot1,leader,-0.0000,-0.0000,
1779964495.020,pose,robot2,follower,-0.0000,1.0000,
1779964495.055,pose,robot1,leader,-0.0000,-0.0000,
1779964495.055,pose,robot2,follower,-0.0000,1.0000,
1779964495.090,pose,robot1,leader,-0.0000,-0.0000,
1779964495.090,pose,robot2,follower,-0.0000,1.0000,
1779964495.125,pose,robot2,follower,-0.0000,1.0000,
1779964495.125,pose,robot1,leader,-0.0000,0.0000,
1779964495.160,pose,robot1,leader,-0.0000,0.0000,
1779964495.160,pose,robot2,follower,-0.0000,1.0000,
1779964495.196,pose,robot1,leader,-0.0000,0.0000,
1779964495.196,pose,robot2,follower,-0.0000,1.0000,
1779964495.230,pose,robot1,leader,-0.0000,-0.0000,
1779964495.231,pose,robot2,follower,-0.0000,1.0000,
1779964495.265,pose,robot1,leader,-0.0000,-0.0000,
1779964495.266,pose,robot2,follower,-0.0000,1.0000,
1779964495.300,pose,robot1,leader,-0.0000,-0.0000,
1779964495.300,pose,robot2,follower,-0.0000,1.0000,
1779964495.335,pose,robot2,follower,-0.0000,1.0000,
1779964495.335,pose,robot1,leader,-0.0000,-0.0000,
