stamp,event,robot,role,x,y,raw
1779964586.433,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""waiting_for_target"", ""reason"": ""waiting_for_target"", ""requirement_refs"": [""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964586.4326246, ""target"": null, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964586.929,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964586.9282053, ""target"": [1.8, 0.2], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964586.933,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""estimate_state"", ""reason"": ""waiting_for_fresh_odometry"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964586.9325476, ""target"": {""x"": 1.8, ""y"": 0.2}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964587.433,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""estimate_state"", ""reason"": ""waiting_for_fresh_odometry"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964587.4325912, ""target"": {""x"": 1.8, ""y"": 0.2}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964587.825,pose,robot1,unknown,-0.0000,-0.0000,
1779964587.825,pose,robot2,unknown,-0.0000,1.0000,
1779964587.859,pose,robot1,unknown,-0.0000,-0.0000,
1779964587.859,pose,robot2,unknown,-0.0000,1.0000,
1779964587.894,pose,robot1,unknown,-0.0000,-0.0000,
1779964587.894,pose,robot2,unknown,-0.0000,1.0000,
1779964587.929,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964587.9281287, ""target"": [1.8, 0.2], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964587.929,pose,robot1,unknown,-0.0000,-0.0000,
1779964587.929,pose,robot2,unknown,-0.0000,1.0000,
1779964587.933,role,robot1,leader,-0.0000,-0.0000,leader
1779964587.933,role,robot2,follower,-0.0000,1.0000,follower
1779964587.933,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 1.8, ""y"": 0.2}, ""role"": ""leader"", ""x"": -3.15204287828876e-31, ""y"": -8.197065045424233e-64}, ""robot2"": {""last_goal"": {""x"": -0.7951069877388952, ""y"": -0.08834522085987724}, ""role"": ""follower"", ""x"": -3.152043216047814e-31, ""y"": 1.0}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964587.9325092, ""target"": {""x"": 1.8, ""y"": 0.2}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964587.964,pose,robot2,follower,-0.0000,1.0000,
1779964587.964,pose,robot1,leader,-0.0000,-0.0000,
1779964587.999,pose,robot2,follower,-0.0000,1.0000,
1779964587.999,pose,robot1,leader,-0.0000,-0.0000,
1779964588.034,pose,robot1,leader,-0.0000,-0.0000,
1779964588.034,pose,robot2,follower,-0.0000,1.0000,
1779964588.069,pose,robot1,leader,0.0087,0.0000,
1779964588.069,pose,robot2,follower,-0.0000,1.0000,
1779964588.104,pose,robot1,leader,0.0175,0.0001,
1779964588.105,pose,robot2,follower,-0.0000,1.0000,
1779964588.139,pose,robot1,leader,0.0262,0.0003,
1779964588.139,pose,robot2,follower,-0.0000,1.0000,
1779964588.175,pose,robot1,leader,0.0350,0.0005,
1779964588.175,pose,robot2,follower,-0.0000,1.0000,
1779964588.209,pose,robot1,leader,0.0437,0.0008,
1779964588.210,pose,robot2,follower,-0.0000,1.0000,
1779964588.244,pose,robot1,leader,0.0525,0.0012,
1779964588.245,pose,robot2,follower,-0.0000,1.0000,
1779964588.280,pose,robot1,leader,0.0612,0.0016,
1779964588.280,pose,robot2,follower,-0.0000,1.0000,
1779964588.315,pose,robot1,leader,0.0700,0.0020,
1779964588.315,pose,robot2,follower,-0.0000,1.0000,
1779964588.349,pose,robot1,leader,0.0787,0.0025,
1779964588.350,pose,robot2,follower,-0.0000,1.0000,
1779964588.385,pose,robot1,leader,0.0874,0.0030,
1779964588.385,pose,robot2,follower,-0.0000,1.0000,
1779964588.419,pose,robot1,leader,0.0962,0.0036,
1779964588.420,pose,robot2,follower,-0.0000,1.0000,
1779964588.433,role,robot1,leader,0.0962,0.0036,leader
1779964588.433,role,robot2,follower,-0.0000,1.0000,follower
1779964588.433,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 1.8, ""y"": 0.2}, ""role"": ""leader"", ""x"": 0.09616410534353569, ""y"": 0.003606485899649064}, ""robot2"": {""last_goal"": {""x"": -0.6985738163494751, ""y"": -0.08799938630881839}, ""role"": ""follower"", ""x"": -1.896114398689507e-12, ""y"": 0.9999999999995624}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964588.4324968, ""target"": {""x"": 1.8, ""y"": 0.2}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964588.455,pose,robot1,leader,0.1049,0.0042,
1779964588.455,pose,robot2,follower,-0.0000,1.0000,
1779964588.490,pose,robot1,leader,0.1136,0.0048,
1779964588.490,pose,robot2,follower,-0.0000,1.0000,
1779964588.525,pose,robot1,leader,0.1223,0.0055,
1779964588.525,pose,robot2,follower,-0.0000,1.0000,
1779964588.560,pose,robot1,leader,0.1311,0.0062,
1779964588.560,pose,robot2,follower,-0.0000,1.0000,
1779964588.595,pose,robot1,leader,0.1398,0.0069,
1779964588.595,pose,robot2,follower,0.0000,1.0000,
1779964588.629,pose,robot1,leader,0.1485,0.0076,
1779964588.630,pose,robot2,follower,-0.0000,1.0000,
1779964588.665,pose,robot1,leader,0.1572,0.0084,
1779964588.665,pose,robot2,follower,-0.0000,1.0000,
1779964588.699,pose,robot1,leader,0.1659,0.0092,
1779964588.700,pose,robot2,follower,-0.0000,1.0000,
1779964588.735,pose,robot1,leader,0.1747,0.0100,
1779964588.735,pose,robot2,follower,-0.0000,1.0000,
1779964588.770,pose,robot1,leader,0.1834,0.0108,
1779964588.770,pose,robot2,follower,-0.0000,1.0000,
1779964588.804,pose,robot1,leader,0.1921,0.0116,
1779964588.805,pose,robot2,follower,-0.0000,1.0000,
1779964588.839,pose,robot1,leader,0.2008,0.0125,
1779964588.840,pose,robot2,follower,-0.0000,1.0000,
1779964588.875,pose,robot1,leader,0.2095,0.0133,
1779964588.875,pose,robot2,follower,-0.0000,1.0000,
1779964588.909,pose,robot2,follower,-0.0000,1.0000,
1779964588.909,pose,robot1,leader,0.2182,0.0142,
1779964588.929,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964588.9279923, ""target"": [1.8, 0.2], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964588.933,role,robot1,leader,0.2182,0.0142,leader
1779964588.933,role,robot2,follower,-0.0000,1.0000,follower
