stamp,event,robot,role,x,y,raw
1779964509.179,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""waiting_for_target"", ""reason"": ""waiting_for_target"", ""requirement_refs"": [""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964509.178252, ""target"": null, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964509.672,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964509.671583, ""target"": [1.8, 0.2], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964509.679,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""estimate_state"", ""reason"": ""waiting_for_fresh_odometry"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964509.6782262, ""target"": {""x"": 1.8, ""y"": 0.2}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964510.179,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""estimate_state"", ""reason"": ""waiting_for_fresh_odometry"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""robots"": {""robot1"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}, ""robot2"": {""last_goal"": null, ""role"": ""idle"", ""x"": null, ""y"": null}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964510.1781693, ""target"": {""x"": 1.8, ""y"": 0.2}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964510.571,pose,robot1,unknown,-0.0000,-0.0000,
1779964510.571,pose,robot2,unknown,-0.0000,1.0000,
1779964510.605,pose,robot1,unknown,-0.0000,-0.0000,
1779964510.605,pose,robot2,unknown,-0.0000,1.0000,
1779964510.640,pose,robot2,unknown,-0.0000,1.0000,
1779964510.640,pose,robot1,unknown,-0.0000,-0.0000,
1779964510.672,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964510.6711597, ""target"": [1.8, 0.2], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964510.675,pose,robot1,unknown,-0.0000,-0.0000,
1779964510.675,pose,robot2,unknown,-0.0000,1.0000,
1779964510.679,role,robot1,leader,-0.0000,-0.0000,leader
1779964510.679,role,robot2,follower,-0.0000,1.0000,follower
1779964510.679,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 1.8, ""y"": 0.2}, ""role"": ""leader"", ""x"": -3.15204287828876e-31, ""y"": -8.197065045424233e-64}, ""robot2"": {""last_goal"": {""x"": -0.7951069877388952, ""y"": -0.08834522085987724}, ""role"": ""follower"", ""x"": -3.152043216047814e-31, ""y"": 1.0}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964510.678289, ""target"": {""x"": 1.8, ""y"": 0.2}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964510.710,pose,robot1,leader,-0.0000,-0.0000,
1779964510.710,pose,robot2,follower,-0.0000,1.0000,
1779964510.745,pose,robot1,leader,-0.0000,-0.0000,
1779964510.745,pose,robot2,follower,-0.0000,1.0000,
1779964510.780,pose,robot1,leader,-0.0000,-0.0000,
1779964510.780,pose,robot2,follower,-0.0000,1.0000,
1779964510.815,pose,robot1,leader,0.0087,0.0000,
1779964510.815,pose,robot2,follower,-0.0000,1.0000,
1779964510.851,pose,robot1,leader,0.0175,0.0001,
1779964510.851,pose,robot2,follower,-0.0000,1.0000,
1779964510.885,pose,robot1,leader,0.0262,0.0003,
1779964510.885,pose,robot2,follower,-0.0000,1.0000,
1779964510.920,pose,robot1,leader,0.0350,0.0005,
1779964510.920,pose,robot2,follower,-0.0000,1.0000,
1779964510.956,pose,robot1,leader,0.0437,0.0008,
1779964510.956,pose,robot2,follower,-0.0000,1.0000,
1779964510.990,pose,robot1,leader,0.0525,0.0012,
1779964510.990,pose,robot2,follower,-0.0000,1.0000,
1779964511.026,pose,robot1,leader,0.0612,0.0016,
1779964511.026,pose,robot2,follower,-0.0000,1.0000,
1779964511.061,pose,robot1,leader,0.0700,0.0020,
1779964511.061,pose,robot2,follower,-0.0000,1.0000,
1779964511.095,pose,robot1,leader,0.0787,0.0025,
1779964511.095,pose,robot2,follower,-0.0000,1.0000,
1779964511.131,pose,robot1,leader,0.0874,0.0030,
1779964511.131,pose,robot2,follower,-0.0000,1.0000,
1779964511.165,pose,robot1,leader,0.0962,0.0036,
1779964511.165,pose,robot2,follower,-0.0000,1.0000,
1779964511.178,role,robot1,leader,0.0962,0.0036,leader
1779964511.178,role,robot2,follower,-0.0000,1.0000,follower
1779964511.179,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 1.8, ""y"": 0.2}, ""role"": ""leader"", ""x"": 0.09616499638005965, ""y"": 0.0035884564236185875}, ""robot2"": {""last_goal"": {""x"": -0.6985719631846252, ""y"": -0.08802576246122765}, ""role"": ""follower"", ""x"": -1.896114398689507e-12, ""y"": 0.9999999999995624}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964511.17828, ""target"": {""x"": 1.8, ""y"": 0.2}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964511.200,pose,robot1,leader,0.1049,0.0042,
1779964511.201,pose,robot2,follower,-0.0000,1.0000,
1779964511.235,pose,robot1,leader,0.1136,0.0048,
1779964511.235,pose,robot2,follower,-0.0000,1.0000,
1779964511.270,pose,robot1,leader,0.1223,0.0055,
1779964511.271,pose,robot2,follower,-0.0000,1.0000,
1779964511.305,pose,robot1,leader,0.1311,0.0062,
1779964511.306,pose,robot2,follower,-0.0000,1.0000,
1779964511.340,pose,robot1,leader,0.1398,0.0069,
1779964511.340,pose,robot2,follower,0.0000,1.0000,
1779964511.376,pose,robot1,leader,0.1485,0.0076,
1779964511.376,pose,robot2,follower,-0.0000,1.0000,
1779964511.410,pose,robot1,leader,0.1572,0.0084,
1779964511.410,pose,robot2,follower,-0.0000,1.0000,
1779964511.445,pose,robot1,leader,0.1659,0.0091,
1779964511.445,pose,robot2,follower,-0.0000,1.0000,
1779964511.480,pose,robot1,leader,0.1747,0.0099,
1779964511.480,pose,robot2,follower,-0.0000,1.0000,
1779964511.515,pose,robot1,leader,0.1834,0.0107,
1779964511.515,pose,robot2,follower,-0.0000,1.0000,
1779964511.550,pose,robot1,leader,0.1921,0.0116,
1779964511.550,pose,robot2,follower,-0.0000,1.0000,
1779964511.586,pose,robot1,leader,0.2008,0.0124,
1779964511.586,pose,robot2,follower,-0.0000,1.0000,
1779964511.620,pose,robot2,follower,-0.0000,1.0000,
1779964511.621,pose,robot1,leader,0.2095,0.0133,
1779964511.655,pose,robot1,leader,0.2182,0.0142,
1779964511.655,pose,robot2,follower,-0.0000,1.0000,
1779964511.671,event,,,,,"{""event"": ""target_updated"", ""phase"": ""estimate_state"", ""requirement_refs"": [""REQ-001"", ""REQ-004""], ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964511.6709807, ""target"": [1.8, 0.2], ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964511.678,role,robot1,leader,0.2182,0.0142,leader
1779964511.678,role,robot2,follower,-0.0000,1.0000,follower
1779964511.679,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 1.8, ""y"": 0.2}, ""role"": ""leader"", ""x"": 0.21820268737013085, ""y"": 0.014153683999367684}, ""robot2"": {""last_goal"": {""x"": -0.5763322118711228, ""y"": -0.0791966983656278}, ""role"": ""follower"", ""x"": -1.5732795418245411e-12, ""y"": 1.0000000000001446}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964511.6781402, ""target"": {""x"": 1.8, ""y"": 0.2}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964511.690,pose,robot1,leader,0.2269,0.0150,
1779964511.690,pose,robot2,follower,-0.0000,1.0000,
1779964511.725,pose,robot1,leader,0.2356,0.0159,
1779964511.726,pose,robot2,follower,-0.0000,1.0000,
1779964511.760,pose,robot1,leader,0.2443,0.0168,
1779964511.760,pose,robot2,follower,-0.0000,1.0000,
1779964511.795,pose,robot1,leader,0.2530,0.0178,
1779964511.795,pose,robot2,follower,-0.0000,1.0000,
1779964511.830,pose,robot1,leader,0.2617,0.0187,
1779964511.831,pose,robot2,follower,-0.0000,1.0000,
1779964511.866,pose,robot1,leader,0.2704,0.0196,
1779964511.866,pose,robot2,follower,-0.0000,1.0000,
1779964511.900,pose,robot1,leader,0.2791,0.0205,
1779964511.900,pose,robot2,follower,-0.0000,1.0000,
1779964511.936,pose,robot1,leader,0.2878,0.0215,
1779964511.936,pose,robot2,follower,-0.0000,1.0000,
1779964511.971,pose,robot1,leader,0.2965,0.0224,
1779964511.971,pose,robot2,follower,-0.0000,1.0000,
1779964512.005,pose,robot1,leader,0.3052,0.0234,
1779964512.006,pose,robot2,follower,-0.0000,1.0000,
1779964512.040,pose,robot1,leader,0.3139,0.0244,
1779964512.040,pose,robot2,follower,-0.0000,1.0000,
1779964512.075,pose,robot1,leader,0.3226,0.0253,
1779964512.075,pose,robot2,follower,-0.0000,1.0000,
1779964512.110,pose,robot1,leader,0.3313,0.0263,
1779964512.111,pose,robot2,follower,-0.0000,1.0000,
1779964512.145,pose,robot1,leader,0.3400,0.0273,
1779964512.145,pose,robot2,follower,-0.0000,1.0000,
1779964512.178,role,robot1,leader,0.3400,0.0273,leader
1779964512.178,role,robot2,follower,-0.0000,1.0000,follower
1779964512.179,task_state,,,,,"{""follower"": ""robot2"", ""leader"": ""robot1"", ""phase"": ""navigate"", ""reason"": ""assigned_leader_follower"", ""requirement_refs"": [""REQ-001"", ""REQ-003"", ""REQ-004"", ""REQ-006""], ""robots"": {""robot1"": {""last_goal"": {""x"": 1.8, ""y"": 0.2}, ""role"": ""leader"", ""x"": 0.3399977202321423, ""y"": 0.02727087601942505}, ""robot2"": {""last_goal"": {""x"": -0.4544617147901681, ""y"": -0.06671958149638468}, ""role"": ""follower"", ""x"": -1.3082370535626009e-12, ""y"": 0.999999999996281}}, ""scenario_id"": ""two_turtlebot4_leader_follower"", ""stamp"": 1779964512.1782107, ""target"": {""x"": 1.8, ""y"": 0.2}, ""task_complete"": false, ""task_model_id"": ""paper_mbse_two_turtlebot4_swarm"", ""validation_case"": ""VC-SIM-2TB4-001""}"
1779964512.180,pose,robot1,leader,0.3487,0.0283,
1779964512.180,pose,robot2,follower,-0.0000,1.0000,
1779964512.215,pose,robot1,leader,0.3574,0.0292,
1779964512.216,pose,robot2,follower,-0.0000,1.0000,
1779964512.250,pose,robot1,leader,0.3661,0.0302,
1779964512.250,pose,robot2,follower,-0.0000,1.0000,
1779964512.285,pose,robot1,leader,0.3748,0.0312,
1779964512.285,pose,robot2,follower,-0.0005,0.9975,
1779964512.320,pose,robot2,follower,-0.0021,0.9890,
1779964512.320,pose,robot1,leader,0.3835,0.0322,
1779964512.355,pose,robot1,leader,0.3922,0.0332,
1779964512.355,pose,robot2,follower,-0.0039,0.9804,
1779964512.390,pose,robot1,leader,0.4009,0.0342,
1779964512.390,pose,robot2,follower,-0.0059,0.9719,
1779964512.425,pose,robot1,leader,0.4095,0.0352,
1779964512.425,pose,robot2,follower,-0.0080,0.9634,
1779964512.460,pose,robot1,leader,0.4182,0.0362,
1779964512.461,pose,robot2,follower,-0.0102,0.9549,
1779964512.495,pose,robot1,leader,0.4269,0.0372,
